annotation	a	b	c	d	odds_ratio	p_value
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_HepG2	11	27	905	20102	9.049396357683651	4.086223996249376e-07
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_LIV	16	22	1757	19250	7.968127490039841	2.2329489612445424e-08
cCREv4_Human_CellType.HepG2_dELS	7	31	305	20702	15.326705446853516	1.2521594434234688e-06
cCREv4_Human_CellType.LIV_PLS	0	38	219	20788	0.0	1.0
cCREv4_Human_CellType.LIV_dELS	11	27	733	20274	11.268455358496286	5.037543709766482e-08
cCREv4_Human_CellType.LIV_pELS	2	36	335	20672	3.4281923714759537	0.12352553872571254
cCREv4_Human_CellType.HepG2_pELS	1	37	147	20860	3.8352638352638353	0.23541176601571906
cCREv4_Human_CellType.HepG2_PLS	0	38	176	20831	0.0	1.0
cCREv4_Human_CellType.LIV_ALL	29	9	8918	12089	4.367957439386011	4.22760957106889e-05
GTEx_Flagship.GTEx_Finemap_PIP_10_liver	3	35	107	20900	16.742323097463284	0.001025960508495248
GTEx_Flagship.GTEx_Finemap_PIP_50_liver	2	36	28	20979	41.625	0.001337644102210162
